CustomerID,Name,Age,Gender,Location,Subscription_Length_Months,Monthly_Bill,Total_Usage_GB,Churn
1,Customer_1,63,Male,Los Angeles,17,73.36,236,0
2,Customer_2,62,Female,New York,1,48.76,172,0
3,Customer_3,24,Female,Los Angeles,5,85.47,460,0
4,Customer_4,36,Female,Miami,3,97.94,297,1
5,Customer_5,46,Female,Miami,19,58.14,266,0
6,Customer_6,67,Male,New York,15,82.65,456,1
7,Customer_7,30,Female,Chicago,3,73.79,269,0
8,Customer_8,67,Female,Miami,1,97.7,396,1
9,Customer_9,20,Female,Miami,10,42.45,150,1
10,Customer_10,53,Female,Los Angeles,12,64.49,383,1
11,Customer_11,50,Female,Miami,5,88.49,442,0
12,Customer_12,44,Male,Los Angeles,20,95.71,295,1
13,Customer_13,34,Female,Miami,10,90.42,148,1
14,Customer_14,28,Male,Chicago,13,58.48,239,1
15,Customer_15,42,Male,Chicago,15,46.87,233,0
16,Customer_16,55,Female,Houston,13,61.11,231,1
17,Customer_17,43,Female,New York,8,81.4,231,1
18,Customer_18,63,Male,Chicago,1,83.31,198,0
19,Customer_19,31,Male,Miami,23,63.4,236,0
20,Customer_20,41,Female,Chicago,1,58.76,354,0
21,Customer_21,58,Female,Houston,2,49.56,429,0
22,Customer_22,64,Male,Houston,15,99.79,243,0
23,Customer_23,50,Male,Chicago,23,62.45,270,1
24,Customer_24,70,Male,Los Angeles,4,51.21,389,1
25,Customer_25,18,Female,New York,12,68.91,226,1
26,Customer_26,20,Female,Los Angeles,18,75.69,393,0
27,Customer_27,46,Female,Houston,17,81.76,89,1
28,Customer_28,25,Male,Los Angeles,2,82.74,183,0
29,Customer_29,31,Male,Miami,5,72.09,270,0
30,Customer_30,53,Male,Los Angeles,19,93.91,456,1
31,Customer_31,27,Female,Miami,1,42.92,135,1
32,Customer_32,18,Male,New York,9,75.74,185,0
33,Customer_33,66,Female,Miami,3,61.1,151,1
34,Customer_34,62,Male,Miami,9,77.35,115,1
35,Customer_35,29,Male,Los Angeles,10,79.82,269,1
36,Customer_36,62,Male,New York,19,73.5,194,1
37,Customer_37,66,Female,Chicago,15,59.0,278,1
38,Customer_38,36,Male,New York,17,47.22,423,1
39,Customer_39,60,Male,Miami,18,97.11,202,0
40,Customer_40,26,Male,Miami,1,46.16,495,0
41,Customer_41,45,Female,Chicago,14,70.11,162,0
42,Customer_42,55,Male,Miami,16,72.67,101,1
43,Customer_43,19,Female,Miami,14,39.69,294,0
44,Customer_44,20,Female,Miami,20,79.84,122,1
45,Customer_45,26,Female,Houston,3,82.46,305,0
46,Customer_46,37,Female,New York,15,92.78,212,1
47,Customer_47,63,Female,Chicago,1,64.82,220,1
48,Customer_48,27,Male,Los Angeles,6,61.98,253,1
49,Customer_49,66,Male,New York,15,70.41,135,0
50,Customer_50,49,Female,Miami,17,53.26,278,1
51,Customer_51,38,Female,New York,7,44.73,411,1
52,Customer_52,25,Female,Chicago,14,38.28,447,1
53,Customer_53,53,Male,Chicago,3,40.71,218,0
54,Customer_54,29,Female,Houston,24,94.31,221,1
55,Customer_55,57,Male,Chicago,20,42.36,243,1
56,Customer_56,47,Male,Miami,8,35.43,166,0
57,Customer_57,47,Female,Los Angeles,19,93.39,64,1
58,Customer_58,70,Male,Los Angeles,3,75.58,67,1
59,Customer_59,18,Female,New York,22,87.67,391,0
60,Customer_60,36,Male,New York,23,42.56,232,1
61,Customer_61,31,Female,Houston,12,47.67,298,0
62,Customer_62,48,Female,New York,16,41.1,334,1
63,Customer_63,53,Male,Los Angeles,8,61.96,326,0
64,Customer_64,64,Male,Houston,10,73.94,459,0
65,Customer_65,70,Male,New York,7,62.67,371,1
66,Customer_66,20,Female,Chicago,20,51.95,299,1
67,Customer_67,67,Male,Miami,24,57.31,376,1
68,Customer_68,37,Female,Los Angeles,1,74.99,214,0
69,Customer_69,62,Female,Houston,6,43.42,329,0
70,Customer_70,26,Female,Miami,11,70.83,50,1
71,Customer_71,38,Male,Los Angeles,21,34.06,444,1
72,Customer_72,25,Male,Houston,9,58.42,113,0
73,Customer_73,40,Female,Los Angeles,20,93.09,76,1
74,Customer_74,47,Female,Houston,14,89.24,134,0
75,Customer_75,21,Male,Miami,22,97.97,184,1
76,Customer_76,27,Male,Los Angeles,18,98.2,319,0
77,Customer_77,24,Male,Miami,21,37.5,235,0
78,Customer_78,33,Male,Los Angeles,2,83.74,85,0
79,Customer_79,51,Male,Houston,1,82.58,332,1
80,Customer_80,48,Female,Houston,23,83.84,73,1
81,Customer_81,35,Female,Miami,13,47.9,184,0
82,Customer_82,24,Male,Chicago,22,87.1,369,1
83,Customer_83,33,Female,Los Angeles,3,70.27,308,1
84,Customer_84,44,Male,Los Angeles,21,73.86,446,0
85,Customer_85,69,Female,New York,8,35.13,321,0
86,Customer_86,21,Female,Los Angeles,17,55.84,83,0
87,Customer_87,21,Male,New York,18,72.41,371,0
88,Customer_88,50,Male,Houston,10,49.0,114,0
89,Customer_89,20,Female,Miami,16,49.22,296,1
90,Customer_90,42,Male,Houston,14,73.36,102,0
91,Customer_91,61,Female,New York,22,86.3,215,0
92,Customer_92,31,Female,Chicago,24,49.1,169,0
93,Customer_93,67,Male,Chicago,15,45.59,115,1
94,Customer_94,53,Female,Chicago,4,49.5,225,1
95,Customer_95,40,Male,New York,17,85.3,140,1
96,Customer_96,61,Female,Miami,20,56.0,278,1
97,Customer_97,52,Male,Miami,17,95.85,84,0
98,Customer_98,39,Male,Houston,3,66.71,463,1
99,Customer_99,46,Female,Los Angeles,9,51.08,402,1
100,Customer_100,56,Male,New York,2,46.34,468,0
101,Customer_101,59,Male,Chicago,20,30.93,375,1
102,Customer_102,62,Female,Chicago,2,55.59,366,1
103,Customer_103,59,Male,Los Angeles,6,53.26,404,1
104,Customer_104,65,Female,Chicago,15,31.35,471,0
105,Customer_105,44,Female,Los Angeles,2,70.78,204,1
106,Customer_106,52,Male,Chicago,1,42.33,320,0
107,Customer_107,26,Male,Los Angeles,12,99.3,178,1
108,Customer_108,40,Male,Los Angeles,18,82.81,214,1
109,Customer_109,45,Female,Los Angeles,6,80.72,149,0
110,Customer_110,59,Male,New York,8,49.35,361,1
111,Customer_111,60,Male,Houston,10,72.78,304,1
112,Customer_112,70,Male,New York,24,34.53,236,0
113,Customer_113,63,Female,Houston,11,66.79,150,0
114,Customer_114,22,Female,New York,9,60.71,281,1
115,Customer_115,55,Male,Los Angeles,20,34.78,177,0
116,Customer_116,40,Male,Houston,8,38.71,117,0
117,Customer_117,63,Male,Los Angeles,14,48.51,137,1
118,Customer_118,63,Male,Miami,9,97.71,322,0
119,Customer_119,28,Female,Los Angeles,5,61.14,427,0
120,Customer_120,26,Female,Miami,21,62.0,403,1
121,Customer_121,57,Male,Houston,18,36.89,237,0
122,Customer_122,43,Male,Los Angeles,6,74.7,439,1
123,Customer_123,49,Male,Houston,22,90.88,336,1
124,Customer_124,67,Female,Chicago,5,39.68,344,0
125,Customer_125,30,Female,Miami,3,55.16,288,0
126,Customer_126,42,Male,New York,22,63.77,102,0
127,Customer_127,28,Female,Chicago,15,58.53,257,1
128,Customer_128,69,Female,Chicago,9,87.5,196,1
129,Customer_129,66,Male,Houston,9,71.4,365,0
130,Customer_130,49,Male,Houston,1,37.98,419,1
131,Customer_131,26,Male,New York,22,31.65,215,0
132,Customer_132,40,Male,Chicago,18,66.53,111,1
133,Customer_133,29,Female,Houston,16,68.82,113,1
134,Customer_134,48,Male,Houston,5,43.93,427,0
135,Customer_135,31,Female,New York,4,79.23,344,1
136,Customer_136,39,Male,Chicago,8,77.82,192,0
137,Customer_137,46,Male,New York,19,38.16,244,1
138,Customer_138,56,Male,Miami,7,40.95,287,0
139,Customer_139,27,Female,Chicago,21,57.12,395,0
140,Customer_140,54,Male,Houston,8,34.12,213,1
141,Customer_141,45,Male,Chicago,13,82.95,109,1
142,Customer_142,43,Male,Houston,15,65.57,140,0
143,Customer_143,19,Male,Los Angeles,1,43.17,286,0
144,Customer_144,46,Male,Los Angeles,4,61.6,283,1
145,Customer_145,18,Female,Chicago,12,40.93,230,1
146,Customer_146,41,Male,New York,22,87.74,192,0
147,Customer_147,56,Female,Chicago,6,82.51,491,0
148,Customer_148,40,Male,Chicago,4,79.86,274,1
149,Customer_149,61,Female,Chicago,2,98.9,335,1
150,Customer_150,37,Male,Houston,12,40.67,462,1
151,Customer_151,27,Female,Los Angeles,12,84.66,101,0
152,Customer_152,49,Male,Houston,12,44.74,369,0
153,Customer_153,19,Female,Houston,13,64.1,442,1
154,Customer_154,50,Female,Houston,21,81.84,407,0
